m,merr,pt,p
5322.855,12.174,3858.93937877,98932.5890514
5268.095,12.121,3668.04947907,97468.8343986
5356.321,12.228,3666.2073766,96189.1933068
5663.124,12.61,4404.10356378,100463.759383
5277.308,12.332,3868.33281873,106046.517424
5623.821,12.628,4404.10356378,100463.759383
5421.645,12.243,3868.33281873,106046.517424
5162.184,16.551,19060.2392743,272140.732711
5260.873,14.368,11736.3453349,144467.521546
5169.257,13.743,7060.39745523,145216.429199
5284.825,12.455,14586.3319815,115519.85538
5117.724,15.722,9634.41308835,326877.853419
5252.084,12.189,13771.2220023,107876.846212
5571.167,18.309,4592.62942387,220744.060511
5093.679,15.893,7062.15837345,126937.523543
4875.599,15.261,6887.13978997,132908.870611
5186.067,15.675,6535.00229276,126529.163215
5186.067,15.675,6535.00229276,126529.163215
5346.249,11.282,6268.3034641,57596.5297379
5465.208,20.48,3854.66924346,156669.786899
5405.656,20.438,3785.52658223,158279.925045
5188.734,20.804,11508.9192974,272804.833649
5293.34,13.617,5702.60537335,171554.325817
5278.192,13.103,3511.08724376,72697.0578976
5255.769,12.062,3693.74058869,146804.516362
5305.11,14.534,6376.01176565,117180.633791
5310.2,16.782,6561.68203407,238493.093164
5748.797,16.009,5586.57753457,214506.75028
4984.582,16.238,5586.57753457,214506.75028
5299.134,12.138,3588.83214688,71131.871761
5451.414,14.941,10325.3733748,100356.665365
5331.958,12.305,4155.28707352,58828.4656761
5344.625,12.3,4159.17903675,58829.3990574
5286.243,14.785,11407.7738194,175826.164054
5088.529,14.177,20077.2581896,139773.221126
5267.433,13.095,6568.96618308,108204.660817
5243.63,8.744,3711.37443146,40839.7081954
5301.304,12.073,6633.47839084,92120.3648725
5286.549,15.566,5918.16915346,178455.669844
5286.669,15.227,11429.2755719,152742.549768
5282.183,12.755,7400.89620933,80346.60223
5294.063,12.156,406.860827434,82952.5677794
5288.224,12.782,3523.40414181,63499.3373747
5269.595,9.581,5225.87210731,44243.0173945
5245.744,26.265,8387.82738673,302617.287592
5259.87,12.253,12249.6470027,96894.7723067
5281.92,12.491,9279.55673604,189409.388879
5310.859,17.659,1549.09935208,177840.656923
5203.494,13.711,8305.00975135,234262.369828
5439.258,11.848,9884.08121838,72430.5345161
5285.025,12.246,7591.5051548,147069.491705
5161.566,14.964,4741.0641422,123939.01364
5275.837,10.175,5429.53791487,92595.373651
5529.922,10.528,2160.84045894,66154.8695749
4859.302,10.379,4537.08814413,62515.5577382
5115.154,10.805,4563.7301936,68057.6969315
4728.198,10.422,4533.6215042,62507.7262549
4722.727,10.188,4168.75904587,59347.9035662
5306.63,12.558,1334.92098601,144005.547443
5293.088,11.662,8339.50516473,105500.363639
5230.631,18.806,8899.03441667,289884.785798
5247.777,11.84,2761.38236776,60110.390408
5239.174,11.851,2765.12733944,60111.9211232
5248.6,11.838,2760.65089213,60110.4167463
5248.6,11.838,2760.65089213,60110.4167463
5401.435,10.719,13307.0454804,67271.4836993
5274.926,19.908,8237.47911102,259029.124663
5284.614,9.978,6165.36752171,56058.5476996
5181.072,9.513,4342.27838763,46196.4510204
5263.608,12.559,6303.82791167,78096.5731167
5248.777,21.155,14027.1321637,484744.835091
5288.856,12.835,7679.51175982,105338.313856
5239.286,14.775,4547.0286249,60722.6843458
5415.292,11.238,7151.47347937,48708.5361943
4821.077,11.294,4899.9368841,79627.783066
5331.321,14.334,4963.88516386,110447.463338
5095.31,11.618,4076.42520531,67805.3472946
5398.738,11.779,5304.92111566,79576.5714783
5284.671,13.926,8416.7042195,104302.647695
5285.202,12.223,7026.97953925,144749.71551
5293.603,19.676,4331.77736567,51409.1546363
5972.496,13.539,3220.28631479,89524.1874189
6037.188,14.741,3283.05492979,93859.4655951
5969.586,13.546,3219.80778055,89520.8423613
5961.03,12.452,3280.51144618,87982.5597289
5887.791,12.73,3382.10817581,91599.169938
6049.7,13.497,3220.4926586,89524.1048998
5853.562,12.521,3280.51144618,87982.5597289
5887.791,12.73,3382.10817581,91599.169938
6049.7,13.497,3220.4926586,89524.1048998
5299.767,12.137,5338.6782988,76668.6702623
5298.641,12.131,5341.01218108,76668.2342708
5295.667,12.139,5338.58379932,76671.1675898
5295.667,12.139,5338.58379932,76671.1675898
5700.775,13.324,5820.89288945,68766.6933889
5361.976,9.234,3017.96818083,50660.5037127
5295.912,12.134,4886.13688822,67522.3105268
5329.96,15.483,7383.45257197,244747.645925
5272.578,10.96,10182.9861873,78490.8463704
5558.255,15.551,8142.39798134,203986.38231
5580.125,14.957,7185.56110197,142932.571906
5279.836,12.926,4772.63526335,113023.39192
5377.037,11.933,1776.21724598,44405.1887602
5376.145,13.773,9823.08231126,120236.923507
5270.567,11.768,18054.5484329,106437.445676
5516.756,12.93,8706.29653831,95961.6434811
5287.081,12.09,1220.6632314,121128.390732
5291.783,9.948,2912.25112386,43312.3982872
5274.246,11.553,3416.49947522,72503.7603427
5253.004,12.879,5550.28557201,157607.169597
5260.092,12.568,4605.89677996,144012.453187
4799.28,12.677,4605.89677996,144012.453187
5125.042,14.057,18639.3300841,139171.576238
5265.34,9.652,5332.75467695,53927.1110206
5679.415,16.746,7618.27836446,236216.231617
5316.583,15.054,7932.39947429,172364.955039
5336.059,14.384,10156.6141697,171490.878925
5264.195,11.183,3966.86397271,42687.2968977
4922.549,11.278,4700.25402319,89766.1297151
4922.549,11.278,4700.25402319,89766.1297151
5024.446,10.35,4291.65871914,41086.8736394
5209.093,9.873,6690.40326356,41913.1743476
4916.683,9.612,7478.78202814,47102.6365169
4916.683,9.612,7478.78202814,47102.6365169
5257.452,12.915,4298.23294786,109452.658898
5215.175,20.084,11978.0542657,148770.940929
5348.475,21.971,11692.8434001,103176.507627
5298.962,10.095,3128.86687508,32463.9813184
5281.351,11.388,8155.27925096,125626.447188
5650.938,16.265,47450.5767599,224705.187873
5256.419,11.665,894.016149407,55980.3892487
4918.524,11.453,1361.46309373,64618.3841184
4738.894,11.688,2707.91599279,78124.6942656
4643.151,11.131,1809.03524565,61898.7808086
5109.971,14.865,19596.8879874,139719.969598
5195.516,12.08,1444.44706383,94337.8089256
5189.402,12.072,1445.24868393,94337.7812077
5195.572,12.06,1445.49970578,94337.5850771
5195.572,12.06,1445.49970578,94337.5850771
5232.259,15.016,8105.40939997,99569.6464461
5302.843,13.5,13157.0318988,153821.303193
5093.751,11.84,1744.71315192,59986.7878217
5219.502,13.133,3479.48009026,135773.991641
5232.061,13.259,6231.54636527,204764.57347
5269.345,14.041,5574.1686135,142656.194532
5305.084,14.176,5405.95280575,142500.448091
5233.568,14.489,5427.20457202,151462.545004
5249.429,13.402,5284.18678145,144903.950806
5309.95,13.642,5085.2922678,144746.596789
5272.9,11.332,7035.52514623,57669.1491103
5782.347,19.05,6537.15567127,213634.750869
5525.588,14.5,12238.1492886,176005.65134
5108.764,11.021,4536.73828772,88547.0969763
5255.163,11.82,5563.82573247,90761.8755347
4774.18,11.379,5679.67523142,101094.76299
4836.031,9.945,4650.65999346,98884.8233226
5072.536,11.178,5679.67523142,101094.76299
5630.501,12.14,9258.60362286,62564.8058372
6318.456,13.813,5574.18155974,71407.0883941
6226.061,13.505,5646.06333954,71500.3707378
5713.895,23.617,6390.98047955,216289.131987
5302.94,16.199,9613.60815514,185611.002669
5306.559,16.183,9612.54078548,185597.555385
5400.678,16.472,9709.74006514,185468.628809
5845.358,17.584,10597.8375957,192301.947613
4734.931,14.65,8313.11099276,169413.215216
5204.43,16.255,9612.42626167,185597.080084
5299.925,16.554,9709.96095655,185469.329427
5845.358,17.584,10597.8375957,192301.947613
4734.931,14.65,8313.11099276,169413.215216
5301.205,16.179,9612.42626167,185597.080084
5395.565,16.478,9709.96095655,185469.329427
5348.031,11.534,3149.22485556,40941.8879039
5713.455,11.627,9516.11558476,75117.0272011
5283.726,23.295,17845.0736353,409393.95938
5847.564,26.322,15001.4459927,345660.230292
4971.352,12.62,5643.61212425,86480.3145002
5290.876,12.624,5640.95698266,86482.4862646
5355.949,10.575,4114.59041248,48708.1697976
5273.181,10.25,2235.70812578,30365.0368827
5271.904,9.085,2564.74599992,45489.5490145
5149.512,11.963,7300.13224676,69455.3868788
5482.629,14.899,5693.01312379,183012.398433
5330.397,10.628,4155.4437676,40946.8807571
5272.988,13.815,3210.9838889,82040.5114383
5258.474,11.197,3027.28196272,73492.6258283
5277.75,9.691,2984.52017613,35764.4058471
5185.294,14.869,5004.35896871,229699.00044
5225.503,15.084,5050.24021929,238811.305718
5222.51,15.085,5050.24021929,238811.305718
5482.9,10.898,5225.24985264,66112.1552858
5444.015,10.856,5349.51500764,63543.2302637
5044.328,10.73,4867.34040491,54947.2839461
5430.928,15.779,1571.98065844,103175.915986
5315.688,11.574,2959.66679777,92982.0857824
5247.229,14.154,7866.31214658,105782.108142
5108.339,14.237,7865.62058201,105773.749779
5277.23,13.719,5292.43945157,149149.108613
5251.285,15.533,11180.6416179,245063.542521
5255.193,15.504,11180.3486236,245063.319372
5319.225,16.679,9965.46029165,214887.319896
5121.353,15.557,11181.2392582,245061.032433
5121.353,15.557,11181.2392582,245061.032433
5982.265,13.899,7504.65159919,136627.462851
5276.828,12.034,2289.96060466,91564.1197107
5612.345,17.297,7643.97578602,283280.250512
5281.378,9.438,172.818390225,61935.8511064
5329.87,19.848,3237.84850364,250669.312213
5543.93,20.806,2822.10087079,253459.56158
5364.47,20.515,2602.73285577,245108.869184
5764.889,21.1,2573.08661473,246826.282175
5792.121,20.967,2602.73285577,245108.869184
5407.558,20.742,2573.08661473,246826.282175
5308.426,14.041,4862.69738097,79999.7835702
4861.986,14.223,4796.04780648,82097.0404961
4791.035,14.291,4668.3499491,79864.996313
4791.035,14.291,4668.3499491,79864.996313
5314.401,16.864,10807.3940332,259115.499771
5309.47,17.005,10219.8593396,243864.440796
5044.629,16.445,10568.0734121,248544.078441
5230.816,16.362,10568.0734121,248544.078441
5268.686,10.569,3713.6365873,43140.9249521
5259.937,13.583,2800.9453607,145042.117407
5263.154,14.007,1350.08258818,91479.1730451
4871.093,13.364,896.743911047,89098.6328078
5071.758,11.832,6243.17163067,67226.7213424
5150.012,11.787,6243.34801998,67226.9368591
5290.379,11.298,1344.16732061,43035.5169205
5260.624,13.064,3778.01804061,111786.340658
5302.207,13.858,3996.85980066,130063.636321
5224.43,12.966,5904.4887294,73134.597779
4872.756,12.475,4632.0073013,62468.3974693
5191.383,12.257,4632.0073013,62468.3974693
5288.183,18.421,3423.95093694,93113.0540151
5287.949,17.748,370.733118294,59165.6115226
5621.996,11.81,3544.81222532,88138.9922469
5882.577,11.79,3247.7476987,87047.388013
5294.526,14.211,6741.90706742,138966.446939
6125.478,13.847,5735.84802184,124700.016241
5306.015,16.27,3051.11286853,134386.560702
4866.69,14.777,3303.48520339,138127.429081
5605.112,19.129,10974.320133,275545.816981
5277.017,12.277,4745.91321162,68327.1915954
5249.593,18.995,2940.5032462,241175.076564
5319.585,20.413,2284.58133534,237251.079808
5286.199,12.511,15489.2778159,87243.636293
5257.179,10.624,10371.5097762,71561.5767515
5330.716,21.573,6769.20146633,299189.466844
5225.633,19.142,13628.6663803,242892.672487
6305.031,22.337,12055.7307778,235017.186484
5246.525,12.851,7608.85318586,140584.21836
5299.853,11.709,3441.32427594,77019.8293431
4660.129,10.63,2044.72044449,66426.6373763
5277.692,11.017,5067.54766,73773.2229494
5257.11,15.187,8774.75832757,128456.109619
5289.49,12.044,4747.44175367,92111.1537775
5297.51,13.171,3270.86069011,43507.6242733
5268.609,15.084,3447.62754395,200542.717112
5229.065,10.069,2281.6024945,43873.4865416
5388.158,11.06,5421.20715137,44974.2821544
5395.12,13.991,9974.5716822,161364.638453
5273.109,12.589,8031.83308283,153924.125246
5149.148,12.707,8030.28255209,153912.510077
5285.028,10.588,9074.61483615,64877.9871395
4960.814,12.872,7395.21580356,187333.294603
5783.882,12.43,7058.87093086,159095.643697
6512.179,14.84,6074.06180839,149241.826748
5299.691,9.813,3055.50944762,41897.6645076
5465.161,9.221,5920.20888977,36278.9562601
5468.325,9.218,5920.68868323,36278.7977763
5464.772,9.222,5919.23174519,36278.6882909
5464.772,9.222,5919.23174519,36278.6882909
5457.397,11.493,8176.73238621,65257.5167202
5120.732,13.943,2470.01588416,86368.6066463
4923.157,14.522,4607.54622106,193007.574338
5747.913,24.143,9303.4700387,382872.019963
5998.084,25.633,7381.22355324,343271.656821
5262.451,17.953,4385.00017063,132601.953389
5285.263,12.074,2025.21502449,57373.1951494
5468.107,12.344,2383.45324015,61707.4576736
5267.356,12.049,4296.43259141,55784.4783224
5271.65,13.684,7904.22240169,77525.0680085
5679.356,15.348,6621.36136481,133095.934383
5155.336,18.41,7828.83197513,183231.835202
5273.538,10.461,2629.78755904,50215.5482485
5286.166,12.542,3334.97687938,100594.097124
5335.742,38.085,21886.0280599,476713.631201
5269.625,11.776,6163.29652456,86384.2881894
5330.591,11.866,4476.55081975,98430.7776165
5536.264,14.691,4046.37493164,91539.5258623
5306.553,16.219,5288.01356233,144753.700753
5242.327,16.066,4409.18336322,129067.255039
5276.091,20.442,18433.247972,356149.265487
5268.43,20.829,4978.49452692,285182.418669
4799.38,10.344,3277.60432542,80986.1913893
5195.262,10.757,2361.56781571,65228.563714
5212.827,10.886,2401.35739791,72446.7492543
4671.097,11.095,2546.24992711,73547.9691341
4864.386,11.012,2546.24992711,73547.9691341
5278.289,12.408,6163.53772534,49751.0293834
5606.881,11.249,2748.66197312,70717.2381607
5268.489,10.847,9861.77722046,65421.4247571
5284.483,12.619,1714.17039576,126001.250662
5637.417,17.637,8095.85925466,169938.48267
5223.906,10.439,3907.58530638,48185.2442901
5297.537,14.754,7845.48472035,127400.686562
5301.492,10.342,2040.63179481,93518.7265239
5280.006,10.369,6421.15165186,55587.7214518
5289.051,16.324,8433.803623,148845.997107
5396.516,13.744,1843.91409127,104222.642603
4975.913,10.347,8427.84751711,45858.0913555
5266.628,15.294,9769.14935607,296592.771397
5207.203,9.694,5415.97247413,51223.0286751
5635.39,16.405,14301.7908057,152001.711123
5691.696,16.407,14302.0757958,152001.021133
5175.701,12.382,3678.12480772,127912.933009
5234.794,11.315,13065.793581,73246.0240454
5379.168,12.358,10211.2773727,63104.076558
6261.38,13.331,8947.08078118,60252.8389707
5318.874,11.166,6059.76793315,52382.5564512
5374.261,12.582,2131.83715612,94676.964286
5295.491,19.502,5776.25425819,208650.579843
5038.603,17.292,15243.1940854,278358.479789
5504.354,10.097,2773.06038623,48275.401588
5055.567,13.124,4614.56767263,84018.948522
5279.919,17.76,11266.3337135,220841.016531
5280.165,9.923,1311.70390836,63209.3715292
5297.443,11.428,2287.70704517,58950.1368137
5307.826,12.554,7314.14617057,88694.1343583
5935.067,22.031,13584.0282793,183271.116419
5331.288,13.287,10182.6610669,68161.2099067
5649.841,13.048,2911.13998607,80223.5868781
5286.856,13.615,18100.3458051,238994.225017
5343.72,13.991,8309.91386798,120424.864792
5279.991,12.21,2126.46052399,62799.1726661
5272.887,11.778,12030.6298703,123544.957954
5790.971,19.594,8681.55298112,253518.870058
5282.279,11.81,5524.80625023,54826.8527916
5297.984,14.388,5763.17228356,121781.204585
5295.473,19.295,10679.6396811,294929.592632
5272.731,12.954,16224.3157698,144566.252421
5276.677,17.763,16196.3389073,323058.07271
5321.43,14.523,5480.48009913,91781.961196
5691.435,15.67,4799.60702034,94630.7248059
5272.476,13.221,1689.09575099,83919.020517
5186.639,13.262,1685.89073813,83926.8444765
5379.857,12.122,6515.47366611,106517.306696
5272.562,14.285,5765.34902542,211226.856059
5268.185,12.069,2213.97371619,87530.9941595
5256.201,13.378,14746.4994572,265136.237273
5304.236,12.352,4435.90212527,111766.31313
5295.651,11.911,7913.79689326,130090.373393
5297.137,11.411,6153.07371834,96270.9054832
5298.46,11.397,6151.21866925,96270.557407
5293.31,11.404,6152.52469187,96272.7764897
5293.31,11.404,6152.52469187,96272.7764897
5277.933,11.989,1523.76319043,94224.7516355
5270.001,28.58,9423.4358621,405287.87798
5287.585,15.148,15443.7730185,217569.76551
4876.908,18.507,43059.9798107,267808.044174
5403.075,19.669,43061.0539478,267808.868295
5278.476,13.824,6892.63493078,133038.910809
5289.148,13.139,5339.61641338,81658.2652013
5270.146,9.729,5397.2450693,60627.9556736
5291.821,16.214,9713.21734754,154815.017945
5299.599,13.239,3274.38799686,79958.3331563
5283.971,13.32,3489.41080581,68647.0028625
5194.876,13.309,3221.66561904,64296.9331993
4695.631,11.402,8312.614861,50018.9797962
5280.097,11.768,331.490928533,70382.8506365
5120.646,12.775,11601.1595565,92896.0716426
5288.247,23.738,5456.25822861,267146.515711
5146.438,12.539,6388.2733931,82515.5486075
5154.782,12.531,6388.58026495,82510.2683356
5383.344,12.438,6388.0863432,82509.9110543
5156.553,12.514,6388.0863432,82509.9110543
5312.462,12.838,3921.65769547,127933.431164
5396.829,9.297,1518.6488927,24881.3590738
5305.531,11.818,6977.94086765,60145.2552373
5633.54,11.973,6917.12016442,63331.6791125
5437.998,12.051,6917.12016442,63331.6791125
5583.797,10.912,3184.47267763,69983.7291417
5187.454,18.784,11224.7434333,316531.766654
5334.092,11.805,3452.25963986,106968.193114
5249.711,11.835,3452.59892291,106970.78272
5294.309,12.989,5349.2863831,133908.067846
4609.46,11.785,4557.0364194,139582.81786
4697.016,12.429,4931.0046552,139602.702911
5283.452,10.386,8830.72668791,65767.8822182
5261.75,12.625,5010.50262102,106371.682202
5286.242,14.01,18357.2734797,148454.613846
6265.519,17.126,16743.8560282,139819.427527
6226.324,17.147,16743.0906757,139812.743657
6267.133,17.131,16743.0906757,139812.743657
5422.714,12.648,3723.88173589,87876.4077189
5279.718,9.55,4698.96348844,38429.0380561
5293.346,14.069,6857.99539727,98988.0602695
5237.081,15.414,3203.12713666,97853.7693358
5271.368,18.927,3720.93505653,168075.482964
5285.286,11.741,5676.07032713,67246.1592401
5267.558,12.626,7199.74859848,100903.91786
5287.343,10.53,5494.52445202,68803.1036207
4702.965,10.003,11500.4468969,72538.961762
5296.131,10.71,13114.1505847,86497.7745964
5214.666,12.213,3344.26832107,89678.4085695
5281.853,13.59,2676.10139496,162174.631155
5275.054,12.243,8808.09095472,82005.2656761
5788.628,12.697,8094.94167694,106161.753678
5321.689,12.621,8071.49412694,105040.831952
5977.461,13.163,8445.91475475,114994.88874
4990.998,11.952,7353.35518099,87529.8335026
5189.854,12.564,7740.06898022,96363.2012557
5219.03,12.531,7729.53775245,96360.4221912
4989.272,11.939,7357.61394563,87527.9991693
5188.554,12.545,7741.89052592,96369.2185442
5541.321,12.654,7755.42688468,97497.1428576
4989.272,11.939,7357.61394563,87527.9991693
5078.932,12.576,7741.89052592,96369.2185442
5541.321,12.654,7755.42688468,97497.1428576
5229.266,11.445,4668.30849693,60972.2260524
5290.057,9.698,5977.83428517,46138.7791099
5248.182,16.038,3212.19563097,125147.980792
5548.82,13.128,9420.22448567,88795.156933
5717.66,13.824,11218.7199016,102353.357048
5300.369,16.234,6214.21430223,138243.219174
5212.253,14.878,6034.6223982,131703.185437
5271.721,12.752,5223.22940156,46484.3868991
5276.59,12.776,15431.6457513,80019.317027
5891.298,13.542,13664.9124628,72789.5639764
5277.071,14.093,12139.5870717,150104.355721
5242.984,12.052,4256.51004135,124086.306634
5446.4,16.928,12022.4310783,173575.378143
5324.836,16.614,3388.47792243,160459.001922
5257.231,11.338,6157.23945446,37365.7060526
5205.506,10.835,7676.19003061,81590.6173909
5270.327,10.803,7672.5867659,81581.7564049
5262.156,10.983,12101.3296341,140881.866195
5178.471,13.396,6396.48097539,165899.578319
5280.588,20.16,21155.6618307,385306.385575
5416.839,13.449,5499.74328086,155874.524332
5227.066,12.45,11387.1202246,80450.9798975
5198.043,15.494,8137.76294509,122597.152676
5277.691,15.316,8201.76001191,125503.772146
6073.444,16.439,7620.0654549,114451.819165
5227.249,15.681,7620.0654549,114451.819165
5131.303,11.276,7681.17407347,99211.8027728
5819.846,14.491,7039.64082056,107544.607274
5311.348,13.287,8554.72085509,118380.735775
5340.415,13.261,6300.48332594,116608.225772
6095.383,13.887,5005.70470488,107396.240581
5460.563,10.365,4019.01467553,52362.0163474
5313.526,14.82,4815.67020354,173330.300276
4869.73,14.049,3993.6271665,146812.117973
5277.481,12.17,5582.62811046,89068.1366342
5323.406,12.14,5582.62811046,89068.1366342
5236.463,12.01,10080.6139023,101228.866449
5236.318,12.011,10081.3016579,101243.910132
5317.99,11.971,10078.9506097,101225.307773
5236.827,12.012,10078.9506097,101225.307773
5659.705,24.366,6677.77878427,314184.303894
5214.029,14.202,5155.12442527,52788.3984376
5242.837,26.691,6810.32135472,136702.745276
5236.341,17.182,6057.9374296,209968.079111
5357.682,12.86,9007.25794551,133223.419881
5266.036,12.771,2600.28947852,77979.4964382
5326.69,11.857,9270.84463574,76514.0289774
5276.633,13.047,10450.5969116,182533.190267
5271.328,10.59,5049.32559106,45901.5367994
5263.164,10.363,4640.4663511,41870.2949653
5212.605,10.386,4640.4663511,41870.2949653
5293.117,11.306,5035.2802917,83771.1960813
5338.778,16.107,461.649399978,121179.449361
5318.853,17.627,1252.42810987,128527.962226
5953.75,18.464,1119.07145156,120573.433299
5868.074,19.853,1982.71177555,127912.497467
5715.897,17.913,1412.42015746,128167.552747
5155.051,17.69,1412.42015746,128167.552747
5292.614,12.168,3805.56747989,63707.9036398
5201.765,13.907,4827.50590617,132408.81252
5285.838,12.689,6800.35670768,74466.2090606
6078.275,13.306,5736.79448063,72519.6756372
6078.275,13.306,5736.79448063,72519.6756372
5293.732,13.212,5401.32594079,86735.4333187
5245.301,15.996,2333.14047672,106450.911403
5276.617,18.928,6419.8671425,202190.995902
5213.793,11.594,6074.93051368,95725.9471569
5478.407,14.172,8560.5297627,108571.073251
5243.141,11.321,8301.64855947,75964.3689303
5993.65,13.277,9555.65561385,144300.25844
5279.799,11.891,3874.37431306,92831.5148089
5259.157,10.427,12451.9306506,62989.0100586
5242.05,27.236,20947.7629499,482857.541407
5260.253,11.291,7388.3611795,98153.7483543
5346.764,16.106,5984.23654019,207647.188521
5628.501,14.904,16097.0709022,143759.236727
5399.958,20.513,7613.82181544,337426.20162
5281.717,12.586,8769.88574152,86695.2808476
5839.116,11.17,1886.54003628,72961.5438668
5264.117,16.521,16183.9250289,212767.439244
5274.372,15.163,1522.98678162,135427.453855
5296.827,15.575,6348.04084091,114643.027535
5133.95,16.11,5924.03657992,114688.909585
5282.64,10.681,2019.22567976,76076.2719882
4972.203,11.68,5927.15286364,54169.417424
4897.285,11.453,5142.33238553,51611.7866971
5073.066,11.371,5142.33238553,51611.7866971
5292.203,12.529,3647.56710415,65743.6744972
5274.732,10.238,5200.72198613,60213.2281827
5273.647,12.209,11312.7194898,141717.156405
5260.724,10.942,5329.17439235,69309.4526882
5273.673,9.708,1371.5194151,42699.3725362
5100.321,12.23,1452.24422251,91615.5108553
5441.088,11.812,10054.0347507,58047.9602809
5329.35,12.255,7964.60042664,81503.1693067
5282.219,11.442,2462.46150817,36684.7994805
5565.801,11.521,1614.62627038,37914.8854757
5480.191,11.929,2331.00504731,39472.8769214
5683.826,11.832,1616.06267682,40714.545438
5508.98,11.912,2331.00504731,39472.8769214
5712.463,11.822,1616.06267682,40714.545438
5278.164,12.767,5463.21631709,76789.5576353
5263.944,13.231,11104.7264292,125004.379492
5297.927,12.166,13904.9342185,98966.0549913
5257.037,12.1,7747.71518275,64472.3884875
4738.879,11.054,7095.78719879,55822.5608839
4757.606,10.859,752.815174263,45962.3055817
5289.027,10.851,4034.61762745,41251.8759114
5620.729,16.077,6672.48998964,148369.404025
5444.974,16.696,10095.0229582,169797.706538
5271.405,12.963,6262.5436652,145969.273346
5599.801,13.229,10627.2040459,128398.966954
5572.401,16.794,14074.4595529,306458.962994
4855.624,11.914,2466.55266171,80663.6002656
4783.858,11.959,2469.46222374,80665.7283312
5296.866,13.735,8348.47104529,122096.312378
5272.233,16.016,11159.4873084,319186.370282
6738.515,16.108,8597.04948998,242684.102425
5633.09,15.113,7930.4506817,258574.53161
5585.814,16.071,8480.30866778,260004.273825
5445.419,18.69,9089.74623868,248751.192041
5897.806,16.463,8401.94971918,264621.018275
5445.419,18.69,9089.74623868,248751.192041
5897.806,16.463,8401.94971918,264621.018275
5371.186,11.638,13604.9450637,79278.5124737
5311.833,18.19,26328.3504474,246504.54573
5246.891,15.294,15612.5430543,179369.589026
5512.301,11.567,4428.83462437,77714.2394261
4914.093,9.704,2405.22921852,56009.1283386
5686.325,18.427,24307.5429778,288764.97413
5287.982,11.051,4061.67547824,53911.6898681
5184.443,10.808,12169.7319008,81430.3954719
5295.328,12.58,4528.88883676,124852.737143
5261.873,12.874,19185.1422152,139723.671645
5289.841,13.047,8519.55704356,123783.333112
5289.055,13.102,8859.68796191,176222.104378
5276.004,14.567,10640.2870224,114078.830924
5284.927,10.512,3171.41671163,61252.3471272
5258.576,12.496,2740.83400616,95092.7673784
5555.388,11.404,1791.29961695,80331.6843932
4711.501,11.46,1988.74937639,87744.9705065
4711.501,11.46,1988.74937639,87744.9705065
5417.3,12.146,8301.60017,66093.9655436
5555.835,13.899,8542.09781528,67142.603286
5291.199,13.316,14047.9053572,81527.2223979
5266.034,14.764,6360.67121214,195625.744333
5265.088,14.762,6363.40339979,195636.767399
5008.791,13.894,5335.98299901,165871.489849
5040.54,13.939,5369.07934601,168534.51429
5289.586,14.725,6359.8705902,195626.747759
5265.941,14.763,6359.8705902,195626.747759
5276.26,14.237,5935.98645532,96806.7824346
5271.869,12.165,10418.3428813,68467.4947434
5234.807,12.848,9426.12945994,86524.2435526
5277.314,13.6,45744.4262863,240804.796511
5261.105,11.999,1437.55496737,57129.219618
5247.383,12.156,11434.2170395,55185.0656931
5059.981,11.371,12026.3374675,61044.0431193
4916.127,11.376,12026.3374675,61044.0431193
5377.622,11.407,2221.87649184,55864.6522709
5234.902,10.73,2134.54811482,51363.7324039
5853.147,12.031,2610.08569093,68516.7824917
5423.436,11.268,2651.60098024,60706.497328
5771.496,12.002,3120.04710381,73360.0387822
5423.436,11.268,2651.60098024,60706.497328
5863.157,11.934,3120.04710381,73360.0387822
5286.348,16.955,5909.39057722,233423.30364
5278.327,14.74,7535.28474648,270416.877393
5272.123,16.462,11426.0043925,222962.682486
5324.361,14.787,12477.5379625,158683.365458
5196.38,12.252,2209.45162106,172218.303515
5263.837,11.192,2345.53672129,54017.028177
5275.998,12.771,3562.19000034,88304.5882814
5167.424,10.087,1926.77952787,52969.8349346
6503.955,12.144,2504.9323335,84632.5482927
5273.772,11.982,11974.0310486,75775.6954364
4995.308,11.315,10338.5963027,62220.1407379
5187.101,20.854,21583.3715455,107457.987212
5279.841,20.765,21585.4724203,107465.668175
5247.746,17.075,1519.29775916,215066.75646
5235.915,15.097,4973.65107085,135101.291627
5724.113,13.433,11100.5285168,95979.378824
5346.235,10.899,4089.25824589,77611.8534723
5278.101,11.779,7364.51762794,118271.429336
5590.47,20.738,34361.2940885,458218.83294
5606.145,13.817,14881.0182459,96501.2008447
5273.135,16.21,15238.8295755,326646.88687
5437.669,12.071,2060.57713105,82660.5572086
5293.526,24.376,8982.41904999,452236.714131
5275.233,14.222,2641.86861483,97952.8731533
5276.182,17.458,6450.09972743,135481.327768
5276.77,11.673,4680.53638107,64217.5091594
5419.73,11.877,4128.69134028,62580.4220122
5516.038,11.645,4409.43481449,67910.4737518
5562.542,11.825,4396.77170452,69449.2077221
5205.83,9.967,12030.6026439,66628.4679463
5286.121,13.333,4577.84578016,121154.428329
5382.528,9.276,520.259592127,28915.6907105
5273.754,13.626,6271.66976383,176903.837901
5193.346,17.047,29382.4234457,151172.024596
5564.825,10.659,2789.03920261,48157.3116864
5275.949,10.331,6443.13339239,67282.5054627
5266.18,15.5,2665.17838878,58185.9106732
5580.754,16.621,3489.24514119,116791.383767
