m,merr,pt,p
5267.389,12.967,15945.0242669,126956.63183
5346.601,13.078,13392.4781316,105262.553537
5156.562,9.211,2003.54461755,32042.6495945
5156.562,9.211,2003.54461755,32042.6495945
5450.806,11.38,16227.1024188,98199.6518377
5201.289,14.01,630.876940536,77586.9949421
5273.297,14.024,579.278220029,78814.1888539
5268.789,13.099,9974.68648703,133096.613769
5126.374,13.123,9974.97075077,133092.227504
5309.144,14.554,16459.9044208,213285.808535
6273.256,14.618,14519.4619683,186136.724173
4941.929,14.432,13955.358927,180800.238068
5917.614,14.139,13955.358927,180800.238068
5296.303,18.583,8307.66989474,199322.814906
5291.351,9.39,5073.87789862,57758.5026353
5238.779,15.179,5291.4140272,243823.453434
5289.383,15.497,1959.73706729,146819.499804
5073.399,20.668,3844.2479015,50883.2549572
5217.953,14.504,12256.0186568,119101.365562
5273.758,20.631,4137.93976758,141101.857466
4653.422,23.1,4019.81875836,148328.610086
4653.422,23.1,4019.81875836,148328.610086
5263.115,15.278,35850.1054843,181945.93339
5204.918,14.752,11142.6706796,116649.239545
5265.883,11.018,3872.37064544,85776.823125
5270.402,15.001,3749.88913503,150925.521985
5263.061,12.896,1382.45866557,83844.9379563
5486.785,15.652,4538.89677261,171317.247554
5395.087,13.402,9833.88045484,160764.328858
5324.737,12.857,5000.29017295,95068.9298777
5729.066,12.022,7861.59546863,68825.599059
5366.132,10.909,8524.94517635,81654.4827815
5291.18,14.293,12886.7469751,86158.3497353
5242.361,13.608,3813.65952729,145081.272288
5293.476,15.081,19313.3004882,126933.935799
5294.28,11.693,7271.78680986,88338.5654499
5282.234,16.298,12527.5161284,284561.069417
5548.695,12.626,3055.18550888,127857.677355
5271.778,10.626,468.800529543,46216.4977179
5398.715,12.669,5035.41358286,65096.2752042
6167.682,12.792,3615.08305102,61240.5139308
5254.076,12.92,10598.4344534,140567.856032
5290.283,10.986,8152.23757354,95114.6364998
5272.668,11.431,2819.63105212,125905.366559
5275.135,10.923,3507.03374871,66036.0413096
5769.081,13.8,5666.57161056,105003.401454
5281.471,13.917,13697.3058922,241514.049558
5353.503,11.069,6570.68492957,62118.1419681
5284.598,14.051,7000.54962674,178602.770202
5631.395,10.276,2131.60896754,53418.916417
5432.488,9.827,1735.3269009,49101.0544978
5464.912,9.813,1638.9190941,49138.6490017
4782.606,9.417,3399.45172526,59173.0687741
4758.605,9.433,3399.45172526,59173.0687741
5260.207,11.238,12931.1346172,92160.57912
4613.12,12.727,741.326964031,84317.6089651
5235.876,9.315,6274.94966983,41074.5609205
4945.263,12.554,736.563732002,79107.3991223
5257.147,12.481,736.687335645,79107.7302589
5510.228,11.543,11290.5356658,85670.9362552
5282.887,11.218,11466.9680153,85877.4488008
5518.582,11.16,11214.4938887,82623.5197723
5488.032,11.144,11183.7462861,83023.6745391
5385.707,13.837,2714.8206105,106307.260506
5320.602,12.43,10236.3956014,114869.070112
6311.872,12.916,7744.90332586,95388.3075156
6311.872,12.916,7744.90332586,95388.3075156
5275.945,9.405,8471.37101746,50944.5924747
5304.966,9.427,1495.6028524,27997.974782
5331.191,9.416,1495.86731714,27997.9988962
5271.077,16.667,16972.4319289,306491.388085
5272.138,16.663,16974.713304,306499.671889
5267.045,16.669,16975.0217524,306505.060714
5267.045,16.669,16975.0217524,306505.060714
5292.167,11.361,4971.51699887,43318.1400745
4751.684,9.97,2973.18214163,44779.7123356
5264.908,11.717,4125.11460385,64744.876123
5065.738,10.126,3312.42051032,51706.399388
5275.739,10.199,3160.4285862,53969.0468546
5300.815,10.19,3160.4285862,53969.0468546
5251.273,12.793,4803.33396033,144514.647936
5214.404,12.596,2545.43861262,54002.4737372
5265.679,12.636,2536.82018638,53097.2552745
5268.384,15.249,5758.23916844,83744.5316113
5335.993,10.117,10146.2425437,74454.0704248
